id,item_name,bill_date,amount
17,Sherry - Dry,2022/10/02,298
42,Liners - Baking Cups,2022/09/28,416
35,Wine - Puligny Montrachet A.,2023/03/08,187
34,Soup - Campbellschix Stew,2022/11/18,21
20,Beer - Upper Canada Light,2022/10/14,265
15,Coffee - Espresso,2023/01/24,140
29,Beef - Top Sirloin - Aaa,2022/12/26,534
13,Sobe - Lizard Fuel,2023/02/16,294
23,Blue Curacao - Marie Brizard,2023/01/10,601
26,Wine - Segura Viudas Aria Brut,2023/02/03,428
37,Beets - Golden,2023/02/17,844
50,Roe - Flying Fish,2023/02/15,442
36,Cleaner - Lime Away,2023/01/26,493
12,Table Cloth 91x91 Colour,2022/11/25,766
38,Chambord Royal,2023/03/19,774
17,Soap - Mr.clean Floor Soap,2023/01/02,379
41,Chocolate Bar - Oh Henry,2022/09/14,583
14,Oil - Sunflower,2022/11/18,79
39,Beer - Moosehead,2022/11/24,903
40,Dill Weed - Dry,2023/02/12,709
29,Lobster - Tail 6 Oz,2022/07/27,838
44,Pan Grease,2022/12/25,686
42,Bok Choy - Baby,2022/08/02,361
12,Calypso - Lemonade,2022/08/27,145
42,Apron,2022/12/30,952
42,Persimmons,2022/07/25,536
21,Wine - Chateauneuf Du Pape,2022/09/24,28
16,Cake Slab,2022/07/30,199
29,Veal - Nuckle,2022/04/10,648
4,Gelatine Powder,2022/10/29,160
45,Flavouring - Orange,2022/12/31,390
36,Fib N9 - Prague Powder,2022/12/03,721
32,Bagelers,2023/03/05,93
38,Sauce Bbq Smokey,2023/01/15,583
5,Soup - Verve - Chipotle Chicken,2023/04/04,538
35,Apples - Sliced / Wedge,2023/01/12,450
24,Foam Espresso Cup Plain White,2022/08/25,909
1,Wine - Dubouef Macon - Villages,2022/08/20,428
7,Cake Slab,2022/09/14,263
14,Cookies - Englishbay Chochip,2022/06/01,521
37,Peppercorns - Green,2022/09/20,353
25,Mushroom - Portebello,2022/09/16,27
47,Chocolate - Mi - Amere Semi,2022/09/03,727
21,Kahlua,2023/01/24,456
46,Muffin - Mix - Strawberry Rhubarb,2022/10/02,810
48,Flour - Strong,2022/05/29,277
10,Wine - Charddonnay Errazuriz,2022/06/15,914
25,Noodles - Steamed Chow Mein,2022/12/21,930
18,Shrimp - Black Tiger 13/15,2022/11/01,308
49,Pasta - Angel Hair,2022/07/23,426
30,Puree - Pear,2022/07/14,213
4,Crackers Cheez It,2022/08/14,170
12,Cheese - Mix,2022/12/27,367
35,Appetizer - Escargot Puff,2022/07/12,997
50,Table Cloth 54x72 White,2022/09/28,311
27,Lid - 0090 Clear,2022/10/24,548
46,Tomato Paste,2022/05/18,755
8,Yukon Jack,2022/05/05,503
31,Cleaner - Pine Sol,2022/08/03,356
43,Icecream - Dibs,2022/09/01,496
36,Carbonated Water - Lemon Lime,2022/05/16,835
37,Cranberry Foccacia,2022/05/05,365
14,Pie Shell - 5,2023/03/22,199
5,Energy Drink Bawls,2022/05/25,924
42,Cookies - Assorted,2022/08/19,296
19,Wine - Coteaux Du Tricastin Ac,2022/09/01,679
50,Longos - Grilled Chicken With,2022/05/26,585
12,Wine - Lou Black Shiraz,2022/04/20,841
46,Smirnoff Green Apple Twist,2023/03/26,5
43,Mace,2022/04/05,610
13,Cheese - Colby,2023/02/07,826
38,Truffle Cups - Red,2022/05/02,982
39,Ginger - Pickled,2022/09/07,256
37,Oil - Olive Bertolli,2022/04/19,20
35,Food Colouring - Orange,2022/10/31,213
41,Wine - Pinot Noir Pond Haddock,2022/08/07,469
35,Mushroom - Porcini Frozen,2023/01/06,428
4,Peas Snow,2022/06/02,327
16,Cheese - Victor Et Berthold,2022/09/17,429
8,Corn - On The Cob,2022/08/29,203
29,Pork - Side Ribs,2022/04/14,927
15,Green Scrubbie Pad H.duty,2022/11/18,551
9,Sugar - Individual Portions,2022/04/24,131
17,Flower - Commercial Bronze,2022/12/01,547
13,Salt - Seasoned,2022/10/27,571
7,Pastry - Apple Large,2023/02/27,44
5,Loquat,2023/02/01,740
2,Yukon Jack,2023/02/17,482
14,Cake - Cake Sheet Macaroon,2022/04/24,813
35,Shrimp - Tiger 21/25,2022/08/25,198
10,Juice Peach Nectar,2022/09/12,845
17,Bok Choy - Baby,2023/02/08,638
22,Lid - 16 Oz And 32 Oz,2022/05/06,997
48,Appetizer - Mango Chevre,2022/11/29,995
50,Chocolate - Semi Sweet,2022/12/02,608
35,Apricots - Halves,2022/12/11,371
23,Milk 2% 500 Ml,2023/04/04,400
9,Bandage - Flexible Neon,2022/05/24,578
6,Wine - Ej Gallo Sonoma,2022/04/25,940
29,External Supplier,2022/07/02,680
43,Coffee - 10oz Cup 92961,2022/05/06,650
15,Sterno - Chafing Dish Fuel,2022/12/01,809
32,Apple - Fuji,2023/02/13,944
44,Icecream - Dibs,2022/12/08,724
48,Coffee - French Vanilla Frothy,2022/04/06,612
17,Beer - Upper Canada Light,2022/06/25,14
50,Juice - Orange 1.89l,2023/02/04,278
39,Flour - Pastry,2022/04/29,731
24,Bar Mix - Lime,2023/03/22,982
45,Shrimp - 100 / 200 Cold Water,2023/03/13,617
39,Sausage - Andouille,2022/08/20,453
4,Cocoa Butter,2023/04/03,132
30,Skirt - 29 Foot,2022/11/25,398
42,Lamb Rack Frenched Australian,2023/02/13,150
46,Compound - Mocha,2022/07/29,993
47,Salt And Pepper Mix - Black,2022/09/01,243
23,Appetizer - Asian Shrimp Roll,2022/12/05,745
21,Rye Special Old,2022/09/08,931
24,Lid - 0090 Clear,2022/12/17,155
12,Trueblue - Blueberry,2022/10/16,57
24,Wine - Clavet Saint Emilion,2022/07/25,291
15,Beef Striploin Aaa,2022/09/19,986
48,Soup Campbells Beef With Veg,2022/06/19,469
48,Soup - Tomato Mush. Florentine,2022/07/27,491
26,Eel Fresh,2022/11/28,678
24,Milk - Condensed,2022/10/13,814
27,Cheese - Colby,2023/01/16,851
17,Tomatoes - Cherry,2022/07/15,901
13,Cabbage - Green,2022/06/05,85
13,Oysters - Smoked,2022/12/07,168
31,Temperature Recording Station,2022/04/23,737
23,Wine - Cave Springs Dry Riesling,2022/10/01,593
32,Parsley - Dried,2022/11/04,574
46,Mushroom - Portebello,2023/03/02,321
44,Long Island Ice Tea,2022/05/20,551
12,Goldschalger,2023/03/04,204
6,Salmon Steak - Cohoe 8 Oz,2022/11/04,631
4,Creme De Menthe Green,2022/08/02,30
29,Onion Powder,2022/12/03,29
29,Milk - Chocolate 250 Ml,2022/12/13,105
29,Pheasants - Whole,2022/07/29,532
43,Lobster - Cooked,2022/11/22,370
9,Water - Green Tea Refresher,2022/04/16,932
26,Compound - Passion Fruit,2022/12/19,728
43,Wine - Soave Folonari,2023/03/24,725
42,Sole - Iqf,2022/11/17,12
29,Savory,2022/04/27,824
41,Ice Cream - Turtles Stick Bar,2022/06/01,911
10,Tia Maria,2022/05/20,333
27,Kellogs All Bran Bars,2023/02/21,429
46,Bread - Raisin Walnut Pull,2022/04/07,232
28,Tomatoes - Orange,2022/11/27,586
1,Corn - On The Cob,2022/11/22,833
36,Yogurt - Plain,2022/04/08,330
4,Napkin White,2023/01/06,301
